ID	Chromosome	Start_position	End_Position	A1_CN	A2_CN
Test_Segment	1	1	125000000	1	1
Test_Segment	1	125000001	249250621	1	2
Test_Segment	2	1	93300000	1	1
Test_Segment	2	93300001	243199373	1	1
Test_Segment	3	1	91000000	1	1
Test_Segment	3	91000001	198022430	2	2
Test_Segment	4	1	50400000	1	1
Test_Segment	4	50400001	191154276	1	1
Test_Segment	5	1	48400000	0.875	1
Test_Segment	5	48400001	180915260	1	1
Test_Segment	6	1	61000000	1	3
Test_Segment	6	61000001	171115067	1	1
Test_Segment	7	1	59900000	1	1
Test_Segment	7	59900001	159138663	1	2
Test_Segment	8	1	45600000	1	1
Test_Segment	8	45600001	146364022	1.58	0.42
Test_Segment	9	1	49000000	1	1
Test_Segment	9	49000001	141213431	1	1
Test_Segment	10	1	40200000	1	2
Test_Segment	10	40200001	135534747	1	1
Test_Segment	11	1	53700000	2	2
Test_Segment	11	53700001	135006516	1	1
Test_Segment	12	1	35800000	1	1
Test_Segment	12	35800001	133851895	1	1
Test_Segment	13	17900001	115169878	1	1
Test_Segment	14	17600001	107349540	0	1
Test_Segment	15	19000001	102531392	1	1
Test_Segment	16	1	36600000	1	1
Test_Segment	16	36600001	90354753	1	1
Test_Segment	17	1	24000000	0	1
Test_Segment	17	24000001	81195210	1	1
Test_Segment	18	1	17200000	1	1
Test_Segment	18	17200001	78077248	1	1
Test_Segment	19	1	26500000	0	0
Test_Segment	19	26500001	59128983	1	1
Test_Segment	20	1	27500000	1	2
Test_Segment	20	27500001	63025520	1	1
Test_Segment	21	13200001	48129895	1	4
Test_Segment	22	14700001	51304566	1	1
